index,gap,originalSpan
681,2,1
682,10,2
683,2,1
684,16,2
685,2,1
686,10,2
687,2,1
688,10,1
689,2,1
690,34,3
691,2,1
692,22,3
693,2,1
694,16,1
695,2,1
696,10,2
697,2,1
698,34,5
699,2,1
700,28,5
701,2,1
702,28,4
703,2,1
704,22,4
705,2,1
706,4,1
707,2,1
708,10,1
709,2,1
710,10,1
711,2,1
712,46,6
713,2,1
714,10,1
715,2,1
716,64,8
717,2,1
718,28,4
719,2,1
720,22,2
721,2,1
722,4,1
723,2,1
724,22,2
725,2,1
726,28,5
727,2,1
728,16,2
729,2,1
730,106,17
731,2,1
732,10,2
733,2,1
734,10,2
735,2,1
736,16,2
737,2,1
738,10,1
739,2,1
740,28,3
741,2,1
742,64,9
743,2,1
744,28,3
745,2,1
746,28,5
747,2,1
748,40,6
749,2,1
750,28,3
751,2,1
752,28,5
753,2,1
754,46,7
755,2,1
756,58,9
757,2,1
758,40,4
759,2,1
760,10,1
761,2,1
762,58,8
763,2,1
764,34,5
765,2,1
766,40,7
767,2,1
768,28,5
769,2,1
770,28,3
771,2,1
772,16,1
773,2,1
774,10,2
775,2,1
776,28,4
777,2,1
778,10,2
779,2,1
780,28,3
781,2,1
782,4,1
783,2,1
784,28,4
785,2,1
786,10,1
787,2,1
788,40,5
789,2,1
790,4,1
791,2,1
792,10,1
793,2,1
794,16,1
795,2,1
796,10,1
797,2,1
798,10,1
799,2,1
800,106,15
801,2,1
802,28,4
803,2,1
804,16,3
805,2,1
806,22,1
807,2,1
808,4,1
809,2,1
810,10,1
811,2,1
812,40,6
813,2,1
814,34,4
815,2,1
816,40,5
817,2,1
818,28,5
819,2,1
820,28,3
821,2,1
822,28,4
823,2,1
824,10,2
825,2,1
826,28,4
827,2,1
828,28,4
829,2,1
830,4,1
831,2,1
832,40,5
833,2,1
834,16,1
835,2,1
836,10,1
837,2,1
838,10,1
839,2,1
840,28,2
841,2,1
842,4,1
843,2,1
844,40,7
845,2,1
846,10,2
847,2,1
848,28,3
849,2,1
850,34,5
851,2,1
852,10,2
853,2,1
854,16,2
855,2,1
856,10,2
857,2,1
858,28,3
859,2,1
860,40,5
861,2,1
862,28,4
863,2,1
864,28,3
865,2,1
866,34,6
867,2,1
868,28,4
869,2,1
870,10,2
871,2,1
872,10,2
873,2,1
874,28,2
875,2,1
876,16,3
877,2,1
878,28,2
879,2,1
880,10,2
881,2,1
882,28,4
883,2,1
884,34,4
885,2,1
886,28,4
887,2,1
888,22,3
889,2,1
890,4,1
891,2,1
892,22,2
893,2,1
894,28,4
895,2,1
896,16,2
897,2,1
898,46,7
899,2,1
900,40,6
901,2,1
902,46,7
903,2,1
904,10,1
905,2,1
906,10,1
907,2,1
908,28,4
909,2,1
910,64,10
911,2,1
912,28,4
913,2,1
914,58,9
915,2,1
916,22,2
917,2,1
918,4,1
919,2,1
920,10,2
921,2,1
922,10,2
923,2,1
924,58,7
925,2,1
926,4,1
927,2,1
928,82,12
929,2,1
930,4,1
931,2,1
932,10,1
933,2,1
934,10,1
935,2,1
936,16,3
937,2,1
938,10,1
939,2,1
940,94,11
941,2,1
942,40,7
943,2,1
944,16,3
945,2,1
946,10,1
947,2,1
948,28,4
949,2,1
950,28,3
951,2,1
952,10,2
953,2,1
954,28,4
955,2,1
956,4,1
957,2,1
958,28,2
959,2,1
960,28,4
961,2,1
962,22,3
963,2,1
964,16,2
965,2,1
966,16,2
967,2,1
968,52,8
969,2,1
970,64,9
971,2,1
972,10,1
973,2,1
974,28,5
975,2,1
976,10,2
977,2,1
978,34,2
979,2,1
980,10,1
981,2,1
982,10,2
983,2,1
984,16,3
985,2,1
986,10,1
987,2,1
988,34,5
989,2,1
990,40,5
991,2,1
992,28,3
993,2,1
994,10,2
995,2,1
996,16,2
997,2,1
998,16,2
999,2,1
