gidx,gap,origin,mergeCount
0,28,merge,1
1,2,copy,0
2,6,copy,0
3,4,copy,0
4,2,copy,0
5,4,copy,0
6,6,copy,0
7,6,copy,0
8,2,copy,0
9,6,copy,0
10,4,copy,0
11,2,copy,0
12,6,copy,0
13,4,copy,0
14,6,copy,0
15,8,copy,0
16,4,copy,0
17,2,copy,0
18,4,copy,0
19,2,copy,0
20,4,copy,0
21,14,copy,0
22,4,copy,0
23,6,copy,0
24,2,copy,0
25,10,copy,0
26,2,copy,0
27,6,copy,0
28,6,copy,0
29,4,copy,0
30,6,copy,0
31,6,copy,0
32,2,copy,0
33,10,copy,0
34,2,copy,0
35,4,copy,0
36,2,copy,0
37,12,copy,0
38,12,copy,0
39,4,copy,0
40,2,copy,0
41,4,copy,0
42,6,copy,0
43,2,copy,0
44,10,copy,0
45,6,copy,0
46,6,copy,0
47,6,copy,0
48,2,copy,0
49,6,copy,0
50,4,copy,0
51,2,copy,0
52,10,copy,0
53,14,copy,0
54,4,copy,0
55,2,copy,0
56,4,copy,0
57,14,copy,0
58,6,copy,0
59,10,copy,0
60,2,copy,0
61,4,copy,0
62,6,copy,0
63,8,copy,0
64,6,copy,0
65,6,copy,0
66,4,copy,0
67,6,copy,0
68,8,copy,0
69,4,copy,0
70,8,copy,0
71,10,copy,0
72,2,copy,0
73,10,copy,0
74,2,copy,0
75,6,copy,0
76,4,copy,0
77,6,copy,0
78,8,copy,0
79,4,copy,0
80,2,copy,0
81,4,copy,0
82,12,copy,0
83,8,copy,0
84,4,copy,0
85,8,copy,0
86,4,copy,0
87,6,copy,0
88,12,copy,0
89,2,copy,0
90,18,merge,1
91,6,copy,0
92,10,copy,0
93,6,copy,0
94,6,copy,0
95,2,copy,0
96,6,copy,0
97,10,copy,0
98,6,copy,0
99,6,copy,0
100,2,copy,0
101,6,copy,0
102,6,copy,0
103,4,copy,0
104,2,copy,0
105,12,copy,0
106,10,copy,0
107,2,copy,0
108,4,copy,0
109,6,copy,0
110,6,copy,0
111,2,copy,0
112,12,merge,1
113,4,copy,0
114,6,copy,0
115,8,copy,0
116,10,copy,0
117,8,copy,0
118,10,merge,1
119,8,copy,0
120,6,copy,0
121,6,copy,0
122,4,copy,0
123,8,copy,0
124,6,copy,0
125,4,copy,0
126,8,copy,0
127,4,copy,0
128,14,copy,0
129,10,copy,0
130,12,copy,0
131,2,copy,0
132,10,copy,0
133,2,copy,0
134,4,copy,0
135,2,copy,0
136,10,copy,0
137,2,copy,0
138,12,merge,1
139,4,copy,0
140,2,copy,0
141,4,copy,0
142,14,copy,0
143,4,copy,0
144,2,copy,0
