gidx,gap,origin,mergeCount
353,2,copy,0
354,4,copy,0
355,8,copy,0
356,6,copy,0
357,4,copy,0
358,2,copy,0
359,4,copy,0
360,2,copy,0
361,10,copy,0
362,2,copy,0
363,10,copy,0
364,6,copy,0
365,2,copy,0
366,4,copy,0
367,6,copy,0
368,2,copy,0
369,6,copy,0
370,4,copy,0
371,2,copy,0
372,10,merge,1
373,6,copy,0
374,2,copy,0
375,6,copy,0
376,4,copy,0
377,12,merge,1
378,6,copy,0
379,8,copy,0
380,6,copy,0
381,4,copy,0
382,2,copy,0
383,4,copy,0
384,8,copy,0
385,6,copy,0
386,4,copy,0
387,6,copy,0
388,2,copy,0
389,4,copy,0
390,6,copy,0
391,8,merge,1
392,6,copy,0
393,6,copy,0
394,4,copy,0
395,6,copy,0
396,2,copy,0
397,6,copy,0
398,4,copy,0
399,2,copy,0
400,4,copy,0
401,2,copy,0
402,10,copy,0
403,12,copy,0
404,2,copy,0
405,4,copy,0
406,12,merge,1
407,2,copy,0
408,6,copy,0
409,4,copy,0
410,2,copy,0
411,4,copy,0
412,6,copy,0
413,6,copy,0
414,2,copy,0
415,12,merge,1
416,6,copy,0
417,4,copy,0
418,18,merge,1
419,2,copy,0
420,4,copy,0
421,2,copy,0
422,4,copy,0
423,8,copy,0
424,6,copy,0
425,4,copy,0
426,6,copy,0
427,2,copy,0
428,4,copy,0
429,8,merge,1
430,6,copy,0
431,6,copy,0
432,4,copy,0
433,2,copy,0
434,4,copy,0
435,6,copy,0
436,2,copy,0
437,6,copy,0
438,4,copy,0
439,2,copy,0
440,4,copy,0
441,12,copy,0
442,2,copy,0
443,12,copy,0
444,6,merge,1
445,4,copy,0
446,6,copy,0
447,2,copy,0
448,6,copy,0
449,4,copy,0
450,6,merge,1
451,6,copy,0
452,6,copy,0
453,2,copy,0
454,6,copy,0
455,4,copy,0
456,2,copy,0
457,6,copy,0
458,4,copy,0
459,6,copy,0
460,8,copy,0
461,4,copy,0
462,2,copy,0
463,4,copy,0
464,2,copy,0
465,4,copy,0
466,14,copy,0
467,4,copy,0
468,6,copy,0
469,2,copy,0
470,10,copy,0
471,2,copy,0
472,6,copy,0
473,6,copy,0
474,4,copy,0
475,2,copy,0
476,10,merge,1
477,2,copy,0
478,10,copy,0
479,2,copy,0
480,4,copy,0
481,14,merge,1
482,10,copy,0
483,2,copy,0
484,4,copy,0
485,2,copy,0
486,4,copy,0
487,6,copy,0
488,2,copy,0
489,6,copy,0
490,10,merge,1
491,6,copy,0
492,6,copy,0
493,2,copy,0
494,10,merge,1
495,2,copy,0
496,6,copy,0
497,4,copy,0
498,6,copy,0
499,8,copy,0
500,4,copy,0
501,2,copy,0
502,4,copy,0
503,6,copy,0
504,8,copy,0
505,6,copy,0
506,10,copy,0
507,2,copy,0
508,4,copy,0
509,6,copy,0
510,2,copy,0
511,6,copy,0
512,6,copy,0
513,4,copy,0
514,2,copy,0
515,4,copy,0
516,6,copy,0
517,2,copy,0
518,6,copy,0
519,4,copy,0
520,2,copy,0
521,6,copy,0
522,10,copy,0
523,2,copy,0
524,10,copy,0
525,6,merge,1
526,2,copy,0
527,4,copy,0
528,6,copy,0
529,8,copy,0
530,4,copy,0
531,2,copy,0
532,4,copy,0
533,12,copy,0
534,2,copy,0
535,6,copy,0
536,4,copy,0
537,2,copy,0
538,6,copy,0
539,4,copy,0
540,6,copy,0
541,12,copy,0
542,2,copy,0
543,4,copy,0
544,2,copy,0
545,4,copy,0
546,8,copy,0
547,6,copy,0
548,4,copy,0
549,6,copy,0
550,2,copy,0
551,10,merge,1
552,2,copy,0
553,6,copy,0
554,10,copy,0
555,6,merge,1
556,6,copy,0
557,2,copy,0
558,6,copy,0
559,4,copy,0
560,2,copy,0
561,4,copy,0
562,2,copy,0
563,10,copy,0
564,2,copy,0
565,12,merge,1
566,4,copy,0
567,6,copy,0
568,6,copy,0
569,2,copy,0
570,12,merge,1
571,4,copy,0
572,6,copy,0
573,6,copy,0
574,2,copy,0
575,6,copy,0
576,4,copy,0
577,2,copy,0
578,6,copy,0
579,4,copy,0
580,14,merge,1
581,4,copy,0
582,2,copy,0
583,6,copy,0
584,4,copy,0
585,8,copy,0
586,6,copy,0
587,4,copy,0
588,6,copy,0
589,2,copy,0
590,4,copy,0
591,6,copy,0
592,8,copy,0
593,6,copy,0
594,6,merge,1
595,10,copy,0
596,2,copy,0
597,6,copy,0
598,4,copy,0
599,6,merge,1
600,2,copy,0
601,10,copy,0
602,2,copy,0
603,10,copy,0
604,2,copy,0
605,4,copy,0
606,2,copy,0
607,4,copy,0
608,8,copy,0
609,6,copy,0
610,4,copy,0
611,2,copy,0
612,4,copy,0
613,6,copy,0
614,6,copy,0
615,8,merge,1
616,4,copy,0
617,8,copy,0
618,4,copy,0
619,6,copy,0
620,8,copy,0
621,4,copy,0
622,2,copy,0
623,4,copy,0
624,2,copy,0
625,12,merge,1
626,6,copy,0
627,4,copy,0
628,6,copy,0
629,6,copy,0
630,6,copy,0
631,2,copy,0
632,6,copy,0
633,6,copy,0
634,4,copy,0
635,2,copy,0
636,4,copy,0
637,6,copy,0
638,2,copy,0
639,6,copy,0
640,6,merge,1
641,4,copy,0
642,2,copy,0
643,10,copy,0
644,2,copy,0
645,10,copy,0
646,2,copy,0
647,6,copy,0
648,4,copy,0
649,6,copy,0
650,2,copy,0
651,6,copy,0
652,4,copy,0
653,2,copy,0
654,4,copy,0
655,6,copy,0
656,14,merge,1
