gidx,gap,origin,mergeCount
0,30,merge,1
1,6,copy,0
2,4,copy,0
3,2,copy,0
4,4,copy,0
5,6,copy,0
6,6,copy,0
7,2,copy,0
8,6,copy,0
9,4,copy,0
10,2,copy,0
11,6,copy,0
12,4,copy,0
13,6,copy,0
14,8,copy,0
15,4,copy,0
16,2,copy,0
17,4,copy,0
18,2,copy,0
19,4,copy,0
20,14,copy,0
21,4,copy,0
22,6,copy,0
23,2,copy,0
24,10,copy,0
25,2,copy,0
26,6,copy,0
27,6,copy,0
28,4,copy,0
29,6,copy,0
30,6,copy,0
31,2,copy,0
32,10,copy,0
33,2,copy,0
34,4,copy,0
35,2,copy,0
36,12,copy,0
37,12,copy,0
38,4,copy,0
39,2,copy,0
40,4,copy,0
41,6,copy,0
42,2,copy,0
43,10,copy,0
44,6,copy,0
45,6,copy,0
46,6,copy,0
47,2,copy,0
48,6,copy,0
49,4,copy,0
50,2,copy,0
51,10,copy,0
52,14,copy,0
53,4,copy,0
54,2,copy,0
55,4,copy,0
56,14,copy,0
57,6,copy,0
58,10,copy,0
59,2,copy,0
60,4,copy,0
61,6,copy,0
62,8,copy,0
63,6,copy,0
64,6,copy,0
65,4,copy,0
66,6,copy,0
67,8,copy,0
68,4,copy,0
69,8,copy,0
70,10,copy,0
71,2,copy,0
72,10,copy,0
73,2,copy,0
74,6,copy,0
75,4,copy,0
76,6,copy,0
77,8,copy,0
78,4,copy,0
79,2,copy,0
80,4,copy,0
81,12,copy,0
82,8,copy,0
83,4,copy,0
84,8,copy,0
85,4,copy,0
86,6,copy,0
87,12,copy,0
88,2,copy,0
89,18,copy,0
90,6,copy,0
91,10,copy,0
92,6,copy,0
93,6,copy,0
94,2,copy,0
95,6,copy,0
96,10,copy,0
97,6,copy,0
98,6,copy,0
99,2,copy,0
100,6,copy,0
101,6,copy,0
102,4,copy,0
103,2,copy,0
104,12,copy,0
105,10,copy,0
106,2,copy,0
107,4,copy,0
108,6,copy,0
109,6,copy,0
110,2,copy,0
111,12,copy,0
112,4,copy,0
113,6,copy,0
114,8,copy,0
115,10,copy,0
116,8,copy,0
117,10,copy,0
118,8,copy,0
119,6,copy,0
120,6,copy,0
121,4,copy,0
122,8,copy,0
123,6,copy,0
