stage_index,head,gap_index,gap,survivor
3,7,78,2,301
3,7,79,6,307
3,7,80,4,311
3,7,81,2,313
3,7,82,4,317
3,7,83,2,319
3,7,84,4,323
3,7,85,6,329
3,7,86,2,331
3,7,87,6,337
3,7,88,4,341
3,7,89,2,343
3,7,90,4,347
3,7,91,2,349
3,7,92,4,353
3,7,93,6,359
3,7,94,2,361
3,7,95,6,367
3,7,96,4,371
3,7,97,2,373
3,7,98,4,377
3,7,99,2,379
4,11,0,2,13
4,11,1,4,17
4,11,2,2,19
4,11,3,4,23
4,11,4,6,29
4,11,5,2,31
4,11,6,6,37
4,11,7,4,41
4,11,8,2,43
4,11,9,4,47
4,11,10,6,53
4,11,11,6,59
4,11,12,2,61
4,11,13,6,67
4,11,14,4,71
4,11,15,2,73
4,11,16,6,79
4,11,17,4,83
4,11,18,6,89
4,11,19,8,97
4,11,20,4,101
4,11,21,2,103
4,11,22,4,107
4,11,23,2,109
4,11,24,4,113
4,11,25,8,121
4,11,26,6,127
4,11,27,4,131
4,11,28,6,137
4,11,29,2,139
4,11,30,4,143
4,11,31,6,149
4,11,32,2,151
4,11,33,6,157
4,11,34,6,163
4,11,35,4,167
4,11,36,2,169
4,11,37,4,173
4,11,38,6,179
4,11,39,2,181
4,11,40,6,187
4,11,41,4,191
4,11,42,2,193
4,11,43,4,197
4,11,44,2,199
4,11,45,10,209
4,11,46,2,211
4,11,47,10,221
4,11,48,2,223
4,11,49,4,227
4,11,50,2,229
4,11,51,4,233
4,11,52,6,239
4,11,53,2,241
4,11,54,6,247
4,11,55,4,251
4,11,56,2,253
4,11,57,4,257
4,11,58,6,263
4,11,59,6,269
4,11,60,2,271
4,11,61,6,277
4,11,62,4,281
4,11,63,2,283
4,11,64,6,289
4,11,65,4,293
4,11,66,6,299
4,11,67,8,307
4,11,68,4,311
4,11,69,2,313
4,11,70,4,317
4,11,71,2,319
4,11,72,4,323
4,11,73,8,331
4,11,74,6,337
4,11,75,4,341
4,11,76,6,347
4,11,77,2,349
4,11,78,4,353
4,11,79,6,359
4,11,80,2,361
4,11,81,6,367
4,11,82,6,373
4,11,83,4,377
4,11,84,2,379
4,11,85,4,383
4,11,86,6,389
4,11,87,2,391
4,11,88,6,397
4,11,89,4,401
4,11,90,2,403
4,11,91,4,407
4,11,92,2,409
4,11,93,10,419
4,11,94,2,421
4,11,95,10,431
4,11,96,2,433
4,11,97,4,437
4,11,98,2,439
4,11,99,4,443
5,13,0,4,17
5,13,1,2,19
5,13,2,4,23
5,13,3,6,29
5,13,4,2,31
5,13,5,6,37
5,13,6,4,41
5,13,7,2,43
5,13,8,4,47
5,13,9,6,53
5,13,10,6,59
5,13,11,2,61
5,13,12,6,67
5,13,13,4,71
5,13,14,2,73
5,13,15,6,79
5,13,16,4,83
5,13,17,6,89
5,13,18,8,97
5,13,19,4,101
5,13,20,2,103
5,13,21,4,107
5,13,22,2,109
5,13,23,4,113
5,13,24,14,127
5,13,25,4,131
5,13,26,6,137
5,13,27,2,139
5,13,28,10,149
5,13,29,2,151
5,13,30,6,157
5,13,31,6,163
5,13,32,4,167
5,13,33,2,169
5,13,34,4,173
5,13,35,6,179
5,13,36,2,181
5,13,37,10,191
5,13,38,2,193
5,13,39,4,197
5,13,40,2,199
5,13,41,12,211
5,13,42,10,221
5,13,43,2,223
5,13,44,4,227
5,13,45,2,229
5,13,46,4,233
5,13,47,6,239
5,13,48,2,241
5,13,49,6,247
5,13,50,4,251
5,13,51,6,257
5,13,52,6,263
5,13,53,6,269
5,13,54,2,271
5,13,55,6,277
5,13,56,4,281
5,13,57,2,283
5,13,58,6,289
5,13,59,4,293
5,13,60,6,299
5,13,61,8,307
5,13,62,4,311
5,13,63,2,313
5,13,64,4,317
5,13,65,6,323
5,13,66,8,331
5,13,67,6,337
5,13,68,10,347
5,13,69,2,349
5,13,70,4,353
5,13,71,6,359
5,13,72,2,361
5,13,73,6,367
5,13,74,6,373
5,13,75,4,377
5,13,76,2,379
5,13,77,4,383
5,13,78,6,389
5,13,79,2,391
5,13,80,6,397
5,13,81,4,401
5,13,82,2,403
5,13,83,6,409
5,13,84,10,419
5,13,85,2,421
5,13,86,10,431
5,13,87,2,433
5,13,88,4,437
5,13,89,2,439
5,13,90,4,443
5,13,91,6,449
5,13,92,8,457
5,13,93,4,461
5,13,94,2,463
5,13,95,4,467
5,13,96,12,479
5,13,97,2,481
5,13,98,6,487
5,13,99,4,491
6,17,0,2,19
6,17,1,4,23
6,17,2,6,29
6,17,3,2,31
6,17,4,6,37
6,17,5,4,41
6,17,6,2,43
6,17,7,4,47
6,17,8,6,53
6,17,9,6,59
6,17,10,2,61
6,17,11,6,67
6,17,12,4,71
6,17,13,2,73
6,17,14,6,79
6,17,15,4,83
6,17,16,6,89
6,17,17,8,97
6,17,18,4,101
6,17,19,2,103
6,17,20,4,107
6,17,21,2,109
6,17,22,4,113
6,17,23,14,127
6,17,24,4,131
6,17,25,6,137
6,17,26,2,139
6,17,27,10,149
6,17,28,2,151
6,17,29,6,157
6,17,30,6,163
6,17,31,4,167
6,17,32,6,173
6,17,33,6,179
6,17,34,2,181
6,17,35,10,191
6,17,36,2,193
6,17,37,4,197
6,17,38,2,199
6,17,39,12,211
6,17,40,12,223
6,17,41,4,227
6,17,42,2,229
6,17,43,4,233
6,17,44,6,239
6,17,45,2,241
6,17,46,10,251
6,17,47,6,257
6,17,48,6,263
6,17,49,6,269
6,17,50,2,271
6,17,51,6,277
6,17,52,4,281
6,17,53,2,283
6,17,54,6,289
6,17,55,4,293
6,17,56,14,307
6,17,57,4,311
6,17,58,2,313
6,17,59,4,317
6,17,60,6,323
6,17,61,8,331
6,17,62,6,337
6,17,63,10,347
6,17,64,2,349
6,17,65,4,353
6,17,66,6,359
6,17,67,2,361
6,17,68,6,367
6,17,69,6,373
6,17,70,6,379
6,17,71,4,383
6,17,72,6,389
6,17,73,2,391
6,17,74,6,397
6,17,75,4,401
6,17,76,8,409
6,17,77,10,419
6,17,78,2,421
6,17,79,10,431
6,17,80,2,433
6,17,81,4,437
6,17,82,2,439
6,17,83,4,443
6,17,84,6,449
6,17,85,8,457
6,17,86,4,461
6,17,87,2,463
6,17,88,4,467
6,17,89,12,479
6,17,90,8,487
6,17,91,4,491
6,17,92,2,493
6,17,93,6,499
6,17,94,4,503
6,17,95,6,509
6,17,96,12,521
6,17,97,2,523
6,17,98,4,527
6,17,99,2,529
7,19,0,4,23
7,19,1,6,29
7,19,2,2,31
7,19,3,6,37
7,19,4,4,41
7,19,5,2,43
7,19,6,4,47
7,19,7,6,53
7,19,8,6,59
7,19,9,2,61
7,19,10,6,67
7,19,11,4,71
7,19,12,2,73
7,19,13,6,79
7,19,14,4,83
7,19,15,6,89
7,19,16,8,97
7,19,17,4,101
7,19,18,2,103
7,19,19,4,107
7,19,20,2,109
7,19,21,4,113
7,19,22,14,127
7,19,23,4,131
7,19,24,6,137
7,19,25,2,139
7,19,26,10,149
7,19,27,2,151
7,19,28,6,157
7,19,29,6,163
7,19,30,4,167
7,19,31,6,173
7,19,32,6,179
7,19,33,2,181
