gidx,gap,origin,mergeCount
0,12,merge,1
1,4,copy,0
2,2,copy,0
3,4,copy,0
4,6,copy,0
5,2,copy,0
6,6,copy,0
7,4,copy,0
8,2,copy,0
9,4,copy,0
10,6,copy,0
11,6,copy,0
12,2,copy,0
13,6,copy,0
14,4,copy,0
15,2,copy,0
16,6,copy,0
17,4,copy,0
18,6,copy,0
19,8,copy,0
20,4,copy,0
21,2,copy,0
22,4,copy,0
23,2,copy,0
24,4,copy,0
25,14,merge,1
26,4,copy,0
27,6,copy,0
28,2,copy,0
29,10,merge,1
30,2,copy,0
31,6,copy,0
32,6,copy,0
33,4,copy,0
34,2,copy,0
35,4,copy,0
36,6,copy,0
37,2,copy,0
38,10,merge,1
39,2,copy,0
40,4,copy,0
41,2,copy,0
42,12,merge,1
43,10,copy,0
44,2,copy,0
45,4,copy,0
46,2,copy,0
47,4,copy,0
48,6,copy,0
49,2,copy,0
50,6,copy,0
51,4,copy,0
52,6,merge,1
53,6,copy,0
54,6,copy,0
55,2,copy,0
56,6,copy,0
57,4,copy,0
58,2,copy,0
59,6,copy,0
60,4,copy,0
61,6,copy,0
62,8,copy,0
63,4,copy,0
64,2,copy,0
65,4,copy,0
66,6,merge,1
67,8,copy,0
68,6,copy,0
69,10,merge,1
70,2,copy,0
71,4,copy,0
72,6,copy,0
73,2,copy,0
74,6,copy,0
75,6,copy,0
76,4,copy,0
77,2,copy,0
78,4,copy,0
79,6,copy,0
80,2,copy,0
81,6,copy,0
82,4,copy,0
83,2,copy,0
84,6,merge,1
85,10,copy,0
86,2,copy,0
87,10,copy,0
88,2,copy,0
89,4,copy,0
90,2,copy,0
91,4,copy,0
92,6,copy,0
93,8,merge,1
94,4,copy,0
95,2,copy,0
96,4,copy,0
97,12,merge,1
98,2,copy,0
99,6,copy,0
100,4,copy,0
101,2,copy,0
102,6,copy,0
103,4,copy,0
104,6,copy,0
105,12,merge,1
106,2,copy,0
107,4,copy,0
108,2,copy,0
109,4,copy,0
110,8,copy,0
111,6,copy,0
112,4,copy,0
113,6,copy,0
114,2,copy,0
115,4,copy,0
116,6,copy,0
117,2,copy,0
118,6,copy,0
119,10,merge,1
120,2,copy,0
121,4,copy,0
122,6,copy,0
123,2,copy,0
124,6,copy,0
125,4,copy,0
126,2,copy,0
127,4,copy,0
128,2,copy,0
129,10,copy,0
130,2,copy,0
131,10,copy,0
132,2,copy,0
133,4,copy,0
134,6,merge,1
135,6,copy,0
136,2,copy,0
137,6,copy,0
138,6,merge,1
139,4,copy,0
140,6,copy,0
141,6,copy,0
142,2,copy,0
143,6,copy,0
144,4,copy,0
145,2,copy,0
146,6,copy,0
147,4,copy,0
148,6,copy,0
149,8,copy,0
150,4,copy,0
151,2,copy,0
152,6,merge,1
153,4,copy,0
154,8,copy,0
155,6,copy,0
156,4,copy,0
157,6,copy,0
158,2,copy,0
159,4,copy,0
160,6,copy,0
161,8,merge,1
162,6,copy,0
163,4,copy,0
164,2,copy,0
165,10,merge,1
166,2,copy,0
167,6,copy,0
168,4,copy,0
169,2,copy,0
170,4,copy,0
171,2,copy,0
172,10,copy,0
173,2,copy,0
174,10,copy,0
175,2,copy,0
176,4,copy,0
177,2,copy,0
178,4,copy,0
179,8,merge,1
180,6,copy,0
181,4,copy,0
182,2,copy,0
183,4,copy,0
184,6,copy,0
185,6,copy,0
186,2,copy,0
187,6,copy,0
188,4,copy,0
189,8,merge,1
190,4,copy,0
191,6,copy,0
192,8,copy,0
193,4,copy,0
194,2,copy,0
195,4,copy,0
196,2,copy,0
197,4,copy,0
198,8,copy,0
199,6,copy,0
200,4,copy,0
201,6,copy,0
202,6,merge,1
203,6,copy,0
204,2,copy,0
205,6,copy,0
206,6,copy,0
207,4,copy,0
208,2,copy,0
209,4,copy,0
210,6,copy,0
211,2,copy,0
212,6,copy,0
213,4,copy,0
214,2,copy,0
215,4,copy,0
216,2,copy,0
217,10,copy,0
218,2,copy,0
219,10,copy,0
220,2,copy,0
221,6,merge,1
222,4,copy,0
223,6,copy,0
224,2,copy,0
225,6,copy,0
226,4,copy,0
227,2,copy,0
228,4,copy,0
229,6,copy,0
230,6,copy,0
231,8,merge,1
232,4,copy,0
233,2,copy,0
234,6,copy,0
235,10,merge,1
236,8,copy,0
237,4,copy,0
238,2,copy,0
239,4,copy,0
240,2,copy,0
241,4,copy,0
242,8,copy,0
243,10,merge,1
244,6,copy,0
245,2,copy,0
246,4,copy,0
247,8,merge,1
248,6,copy,0
249,6,copy,0
250,4,copy,0
251,2,copy,0
252,4,copy,0
253,6,copy,0
254,2,copy,0
255,6,copy,0
256,4,copy,0
257,6,merge,1
258,2,copy,0
259,10,copy,0
260,2,copy,0
