Q,anchor_layer,anchor_r,anchor_n0,ref_spacing,layer,r,spacing_friendly,spacing_random,spacing_adversarial,spacing_empirical
101,7,23,361.0,28.054320987654314,7,23,28.054320987654314,28.054320987654314,28.054320987654314,28.054320987654314
101,7,23,361.0,28.054320987654314,8,29,28.054320987654314,30.132418838591672,33.758699588477356,30.3221852591114
101,7,23,361.0,28.054320987654314,9,31,28.054320987654314,32.21051668952902,41.506597854685275,32.881850248516905
101,7,23,361.0,28.054320987654314,10,37,28.054320987654314,34.051117643216394,51.409187190574656,34.56522142164917
101,7,23,361.0,28.054320987654314,11,41,28.054320987654314,35.79732880440698,64.92057613168723,36.29967697685737
101,7,23,361.0,28.054320987654314,12,43,28.054320987654314,37.54353996559757,85.8272023435865,38.50802234427075
101,7,23,361.0,28.054320987654314,13,47,28.054320987654314,39.21214174184635,119.14835148874361,39.716117162914536
101,7,23,361.0,28.054320987654314,14,53,28.054320987654314,40.749872790546206,177.677366255144,41.677406899354764
101,7,23,361.0,28.054320987654314,15,59,28.054320987654314,42.17969288846011,297.870878721859,42.91360117179325
101,7,23,361.0,28.054320987654314,16,61,28.054320987654314,43.609512986374014,843.9674897119339,44.81243308204959
101,7,23,361.0,28.054320987654314,17,67,28.054320987654314,44.951344155185524,inf,46.88708276177411
101,7,23,361.0,28.054320987654314,18,71,28.054320987654314,46.25428166693003,inf,47.99815107366449
101,7,23,361.0,28.054320987654314,19,73,28.054320987654314,47.557219178674536,inf,48.457463524130176
101,7,23,361.0,28.054320987654314,20,79,28.054320987654314,48.792471624873876,inf,48.925651577503416
101,7,23,361.0,28.054320987654314,21,83,28.054320987654314,49.99722401067323,inf,49.64514645364317
101,7,23,361.0,28.054320987654314,22,89,28.054320987654314,51.14658548218296,inf,50.13668255714459
101,7,23,361.0,28.054320987654314,23,97,28.054320987654314,52.223355702860495,inf,50.13668255714459
