Q,layer,r,L_initial,L_before,destroyed,L_after,f_real,f_random,w_real,h_real,h_random,D_real,D_random,excess_hazard,c_eff,survival_real,survival_random
101,0,3,5049,5049,3366,1683,0.6666666666666666,0.6666666666666666,1.0,1.0986122886681098,1.0986122886681096,1.0986122886681098,1.0986122886681096,2.220446049250313e-16,1.0105685473181107e-16,0.3333333333333333,0.33333333333333337
101,1,5,5049,1683,673,1010,0.3998811645870469,0.4,0.9997029114676173,0.5106275843555008,0.5108256237659907,1.6092398730236106,1.6094379124341003,-0.000198039410489681,-6.152440207841503e-05,0.20003961180431767,0.2
101,2,7,5049,1010,288,722,0.2851485148514851,0.2857142857142857,0.998019801980198,0.33568047094247894,0.3364722366212129,1.9449203439660896,1.9459101490553132,-0.0009898050892236387,-0.00025432959731058557,0.14299861358684887,0.14285714285714288
101,3,11,5049,722,131,591,0.1814404432132964,0.18181818181818182,0.9979224376731302,0.2002091214867281,0.20067069546215124,2.1451294654528175,2.1465808445174646,-0.0014513790646470959,-0.0003026360410964321,0.11705288175876412,0.11688311688311687
101,4,13,5049,591,91,500,0.15397631133671744,0.15384615384615385,1.0008460236886634,0.16720791898390644,0.1670540846631662,2.312337384436724,2.3136349291806306,-0.0012975447439065313,-0.00025293769253804634,0.09902951079421668,0.09890109890109891
101,5,17,5049,500,57,443,0.114,0.11764705882352941,0.9690000000000001,0.1210383283770561,0.12516314295400605,2.4333757128137803,2.4387980721346367,-0.00542235932085644,-0.0009569274640457239,0.08774014656367597,0.08726567550096961
101,6,19,5049,443,48,395,0.10835214446952596,0.10526315789473684,1.0293453724604966,0.11468400514401383,0.11122563511022437,2.548059717957794,2.5500237072448613,-0.0019639892870673137,-0.0003335082338203714,0.07823331352743118,0.07807981492192016
101,7,23,5049,395,34,361,0.08607594936708861,0.08695652173913043,0.989873417721519,0.09000780656824096,0.09097177820572663,2.638067524526035,2.640995485450588,-0.0029279609245529414,-0.000466905808608754,0.07149930679342444,0.07129026579827494
101,8,29,5049,361,27,334,0.07479224376731301,0.06896551724137931,1.0844875346260388,0.07773696535618045,0.07145896398214498,2.7158044898822156,2.712454449432733,0.0033500404494826164,0.0004974377985518535,0.06615171321053674,0.0663736957432215
101,9,31,5049,334,26,308,0.07784431137724551,0.06451612903225806,1.2065868263473054,0.08104121000312589,0.06669137449867216,2.7968456998853415,2.779145823931405,0.017699875953936406,0.002577161023025729,0.06100217864923747,0.06209152182430398
