Q,layer,r,M_r,T_r,G_r_window,destroyed,surviving,cyclic_run_full_period,window_linear_run,sigma_r_2,sigma_r_min_gap_times_r,c14_interval_found,c14_k_r,c14_J_len,c14_G_in_J,c14_sigma_kr,c14_note,post_E_q,post_main_term,c12_margin,c13_margin
17,0,3,2,1,135,90,45,,2,,6,False,,,,,T_r < 2 (first layer; sigma undefined),31.549450549450547,13.450549450549453,45.00000000000001,45.66176470588235
17,1,5,6,2,45,18,27,1,1,10,10,True,2,8,2,10,,13.549450549450547,13.450549450549453,27.0,27.0
17,2,7,30,8,27,7,20,0,2,14,14,True,8,68,8,168,,6.5494505494505475,13.450549450549453,17.0,19.602739726027398
17,3,11,210,48,20,2,18,2,1,22,22,True,10,104,10,352,,4.5494505494505475,13.450549450549453,14.0,16.825396825396826
17,4,13,2310,480,18,2,16,1,1,26,26,True,10,128,10,416,,2.5494505494505475,13.450549450549453,12.0,16.0
