Q,layer,r,L_initial,L_before,destroyed,L_after,f_real,f_random,w_real,h_real,h_random,D_real,D_random,excess_hazard,c_eff,survival_real,survival_random
17,0,3,135,135,90,45,0.6666666666666666,0.6666666666666666,1.0,1.0986122886681098,1.0986122886681096,1.0986122886681098,1.0986122886681096,2.220446049250313e-16,1.0105685473181107e-16,0.3333333333333333,0.33333333333333337
17,1,5,135,45,18,27,0.4,0.4,1.0,0.5108256237659907,0.5108256237659907,1.6094379124341005,1.6094379124341003,2.220446049250313e-16,6.89820350352046e-17,0.2,0.2
17,2,7,135,27,7,20,0.25925925925925924,0.2857142857142857,0.9074074074074074,0.30010459245033816,0.3364722366212129,1.9095425048844388,1.9459101490553132,-0.03636764417087446,-0.009344636027652656,0.14814814814814814,0.14285714285714288
17,3,11,135,20,2,18,0.1,0.18181818181818182,0.55,0.10536051565782628,0.20067069546215124,2.014903020542265,2.1465808445174646,-0.13167782397519945,-0.027456958914959192,0.13333333333333333,0.11688311688311687
17,4,13,135,18,2,16,0.1111111111111111,0.15384615384615385,0.7222222222222221,0.11778303565638351,0.1670540846631662,2.1326860561986485,2.3136349291806306,-0.18094887298198215,-0.035273381218150546,0.11851851851851852,0.09890109890109891
