Q,prime_index,cumsum_c0_0,cumsum_c0_1,cumsum_c0_3,cumsum_c0_5,cumsum_c0_7,cumsum_c1_0
3,1,0.828535449690223,0.6650998408580446,0.4285863568112482,0.2761784832300743,0.17796776165895592,0.09205949441002477
5,2,1.2145925505944202,0.9449061766117748,0.5755701809523498,0.35338990341091375,0.2185273500434513,0.10750177844619266
7,3,1.4786840568847976,1.1238574634105063,0.6577368364096566,0.3911172614523962,0.23585011360086272,0.1128914010235473
11,4,1.6526000723818235,1.2315191155134975,0.6989944368726229,0.4069278083157622,0.24190895825769326,0.11432872346567148
13,5,1.8045996602556071,1.3225217028146625,0.731613869218324,0.41862008430605324,0.24609999740222188,0.11522812931107848
17,6,1.9291776856292437,1.3932106736067504,0.7543738604270644,0.4259482034456789,0.2484594592153673,0.11565919514282116
19,7,2.0445216524419827,1.4572201335535075,0.7740864065573047,0.4320189385410862,0.250329021085007,0.11597870751626366
23,8,2.1462373524051834,1.511550473803985,0.789587105823181,0.4364413602786167,0.25159075861627034,0.11617098672224324
29,9,2.2344310304683797,1.5565240947711796,0.8012820635473266,0.4394825215911407,0.2523815833757047,0.11627585435370959
31,10,2.3192323587434576,1.5991948486799101,0.8120860899920389,0.44221804830969164,0.2530742053778999,0.1163640971510822
37,11,2.3959269555491933,1.6364446897240343,0.8208731528718007,0.4442908752503872,0.2535631755360592,0.11642011950083073
41,12,2.468440024698642,1.6709479008701333,0.8286848603702822,0.4460594866930567,0.2539635984187324,0.11646325636528608
47,14,2.606588086378573,1.7354978056606132,0.8427809994183042,0.44913871458988536,0.25463645157186854,0.11653202551374459
53,15,2.6700269100811753,1.764172575961606,0.8486395421211189,0.4503356735276703,0.25488100226841887,0.11655460964464619
59,16,2.7301725409144066,1.7907818901817851,0.8538478047707294,0.45135509099941995,0.25508053367680245,0.11657188790687924
67,18,2.845909523305723,1.8411833040234409,0.8634086961141565,0.4531693803449857,0.2554249366396526,0.11660039097853109
71,19,2.900943964663876,1.8646462690181496,0.867673308394619,0.45394451332186114,0.2555658242731175,0.11661130834440257
79,21,3.007645801817105,1.9095366217338587,0.8756201851758101,0.45535168838790546,0.2558150585692866,0.11662989491851139
89,23,3.108492240064006,1.9509243728428949,0.8825921917251376,0.456526391863612,0.25601302115968433,0.11664359500779996
97,24,3.156275159120133,1.9700633326502128,0.8856626955074561,0.45701899927656175,0.25609205120833317,0.11664867343473759
