log10_Q,log10_lambda_fixed_w1,log10_lambda_fixed_w3,log10_lambda_fixed_w6,log10_lambda_fixed_w10,log10_lambda_constant_share,log10_lambda_frontier_c1
2.0,2.673508631273111,0.02052589381933334,-3.9589482123613333,-9.264913687268889,2.5787280862298325,-1.3264913687268889
2.1939799331103678,2.981063186719348,0.16726982771657273,-4.05342021078759,-9.681006928793142,2.8460125986798968,-1.4068966795013877
2.387959866220736,3.295434308139056,0.3344634595342235,-4.106992813373025,-10.02893451058269,3.1014877663331775,-1.4804854243024161
2.5819397993311037,3.615555997240668,0.5189087943975892,-4.126062009867029,-10.31935641555319,3.3351786742728553,-1.5483236014215396
2.7759197324414715,3.9405942793807283,0.7181039083762979,-4.115631648130347,-10.560612390139209,3.5329681398765094,-1.611245185502215
2.9698996655518393,4.2698843987964095,0.9300545341818705,-4.079690262739938,-10.759349991969014,3.674349679598106,-1.6699149323072693
3.1638795986622075,4.602887923770762,1.1531453766634572,-4.021468443997501,-10.92095353821211,3.7290943466676185,-1.7248712735536527
3.3578595317725752,4.939162637177082,1.3860497844409458,-3.943619494663259,-11.049845200135529,3.6522584771676136,-1.7765564263680682
3.551839464882943,5.278340895524918,1.6276648270429837,-3.8483492756799187,-11.149701412643788,3.376670113232958,-1.8253380342409675
3.745819397993311,5.620113749896192,1.8770636577153308,-3.737511480555961,-11.223611664917682,2.8015895948054874,-1.8715250460904305
3.939799331103679,5.964219080555125,2.1334599172506596,-3.6126788277060387,-11.274197154314969,1.7755656677250444,-1.9153795816522328
4.133779264214047,6.310432586172432,2.39618070166111,-3.4751971251058738,-11.303700894128518,0.0704815872874116,-1.9571259422556613
4.327759197324415,6.658560841233399,2.664645734402539,-3.326226925843752,-11.314057139505476,-2.657778666658345,-1.9969575534154305
4.521739130434783,7.008435876908265,2.9383511089856613,-3.1667760428982437,-11.306945578743449,-6.928998149282404,-2.0350423839613017
4.7157190635451505,7.359910901029474,3.2168564489078193,-2.9977252292746623,-11.283834133517969,-13.52921833093111,-2.071527226060827
4.909698996655519,7.712856881400867,3.4997746575805255,-2.8198486781499863,-11.246013125790666,-23.64839040111077,-2.1065411119101705
5.103678929765886,8.067159791543983,3.786763655568401,-2.63383054839497,-11.19462282034613,-39.089689634807016,-2.1401980679877903
5.297658862876254,8.422718370495492,4.0775196599814585,-2.4402784057895914,-11.130675826817658,-62.58802702371598,-2.1725993552570166
5.491638795986622,8.779442285656334,4.371771673022511,-2.239734245928222,-11.055075471195867,-98.29505128836962,-2.203835306316911
5.685618729096991,9.137250614687366,4.669276927674137,-2.032683602845708,-10.96863097687217,-152.51814082099685,-2.233986843506615
5.879598662207358,9.496070582189143,4.9698170977379945,-1.8195631289387268,-10.87207009784102,-234.84708442554393,-2.2631267422255736
6.073578595317726,9.855836501515252,5.273195123274853,-1.6007669440857466,-10.766049700566546,-359.872840657589,-2.2913206891202
6.2675585284280935,10.2164888830026,5.579232535295429,-1.3766519862653297,-10.651164681679674,-549.8109778960091,-2.318628173853586
6.461538461538462,10.577973678167908,5.887767188349874,-1.147542546377176,-10.52795552601324,-838.5081145152549,-2.3451032449090166
6.65551839464883,10.94024163572818,6.198651328589218,-0.9137341321192238,-10.396914746397144,-1277.5635594104695,-2.3707951535694805
6.849498327759197,11.303247750160741,6.5117499394454335,-0.6754967766275275,-10.25849239805814,-1945.68744976774,-2.3957489053576535
7.043478260869565,11.666950787290128,6.826939318392123,-0.4330778849548853,-10.113100822750896,-2963.0132293621896,-2.4200057344490027
7.237458193979934,12.031312874340736,7.144105847102475,-0.18670469375491727,-9.96111874823144,-4512.997233827996,-2.4436035136191308
7.431438127090301,12.396299144220837,7.463144924301307,0.06341359442201266,-9.802894845417047,-6875.941846288256,-2.466577109959765
7.625418060200669,12.761877425650363,7.7839600361484145,0.31708395189549066,-9.63875082710841,-10480.332982634216,-2.4889586947509748
7.819397993311037,13.128017972220364,8.106461943416946,0.5741279002118169,-9.468984157395024,-15981.489982612748,-2.51077801440171
8.013377926421406,13.494693224658196,8.430567968288967,0.8343800837351232,-9.293870429003338,-24382.105005170222,-2.532062628184615
8.207357859531772,13.861877601531507,8.75620136646743,1.097687013871317,-9.113665456256832,-37217.051169781946,-2.552838117532038
8.401337792642142,14.229547314403899,9.083290772643132,1.3639059600019774,-8.928607123519562,-56836.827411839586,-2.5731282708803844
8.595317725752508,14.59768020409236,9.411769709267048,1.632903967029078,-8.73891702262155,-86842.43497276555,-2.5929552474126565
8.789297658862877,14.966255595200199,9.741576150149093,1.9045569825724318,-8.544801907529784,-132752.81076952856,-2.6123397225255536
8.983277591973245,15.33525416653103,10.072652131700108,2.178749079453727,-8.346454990208112,-203029.51047342326,-2.6313010174154603
