gidx,gap,origin,mergeCount
0,10,merge,1
1,2,copy,0
2,4,copy,0
3,2,copy,0
4,4,copy,0
5,6,copy,0
6,2,copy,0
7,6,copy,0
8,4,copy,0
9,2,copy,0
10,4,copy,0
11,6,merge,1
12,6,copy,0
13,2,copy,0
14,6,copy,0
15,4,copy,0
16,2,copy,0
17,6,merge,1
18,4,copy,0
19,6,copy,0
20,8,merge,1
21,4,copy,0
22,2,copy,0
23,4,copy,0
24,2,copy,0
25,4,copy,0
26,8,merge,1
27,6,copy,0
28,4,copy,0
29,6,merge,1
30,2,copy,0
31,4,copy,0
32,6,copy,0
33,2,copy,0
34,6,copy,0
35,6,merge,1
36,4,copy,0
37,2,copy,0
38,4,copy,0
39,6,copy,0
40,2,copy,0
41,6,copy,0
42,4,copy,0
43,2,copy,0
44,4,copy,0
45,2,copy,0
46,10,merge,1
47,2,copy,0
