gidx,gap,origin,mergeCount
0,18,merge,1
1,4,copy,0
2,6,copy,0
3,2,copy,0
4,6,copy,0
5,4,copy,0
6,2,copy,0
7,4,copy,0
8,6,copy,0
9,6,copy,0
10,2,copy,0
11,6,copy,0
12,4,copy,0
13,2,copy,0
14,6,copy,0
15,4,copy,0
16,6,copy,0
17,8,copy,0
18,4,copy,0
19,2,copy,0
20,4,copy,0
21,2,copy,0
22,4,copy,0
23,14,copy,0
24,4,copy,0
25,6,copy,0
26,2,copy,0
27,10,copy,0
28,2,copy,0
29,6,copy,0
30,6,copy,0
31,4,copy,0
32,6,copy,0
33,6,copy,0
34,2,copy,0
35,10,copy,0
36,2,copy,0
37,4,copy,0
38,2,copy,0
39,12,copy,0
40,12,copy,0
41,4,copy,0
42,2,copy,0
43,4,copy,0
44,6,copy,0
45,2,copy,0
46,10,copy,0
47,6,copy,0
48,6,copy,0
49,6,copy,0
50,2,copy,0
51,6,copy,0
52,4,copy,0
53,2,copy,0
54,10,merge,1
55,14,copy,0
56,4,copy,0
57,2,copy,0
58,4,copy,0
59,14,merge,1
60,6,copy,0
61,10,copy,0
62,2,copy,0
63,4,copy,0
64,6,copy,0
65,2,copy,0
66,6,copy,0
67,6,copy,0
68,6,copy,0
69,4,copy,0
70,6,copy,0
71,8,merge,1
72,4,copy,0
73,8,copy,0
74,10,copy,0
75,2,copy,0
76,10,copy,0
77,2,copy,0
78,4,copy,0
79,2,copy,0
80,4,copy,0
81,6,copy,0
82,8,copy,0
83,4,copy,0
84,2,copy,0
85,4,copy,0
86,12,copy,0
87,8,copy,0
88,4,copy,0
89,8,merge,1
90,4,copy,0
91,6,copy,0
92,12,copy,0
93,2,copy,0
94,6,merge,1
95,12,copy,0
96,6,copy,0
97,4,copy,0
98,6,copy,0
99,6,copy,0
100,6,copy,0
101,2,copy,0
102,6,copy,0
103,10,copy,0
104,2,copy,0
105,4,copy,0
106,6,copy,0
107,2,copy,0
108,6,copy,0
109,6,copy,0
110,4,copy,0
111,2,copy,0
112,12,merge,1
113,10,copy,0
114,2,copy,0
115,4,copy,0
116,6,copy,0
117,6,copy,0
118,2,copy,0
119,6,copy,0
120,6,copy,0
121,4,copy,0
122,6,copy,0
123,8,copy,0
124,10,merge,1
125,2,copy,0
126,6,copy,0
127,4,copy,0
128,6,copy,0
129,8,copy,0
130,6,merge,1
131,6,copy,0
132,4,copy,0
133,8,copy,0
134,6,copy,0
135,4,copy,0
136,8,copy,0
137,4,copy,0
138,6,copy,0
139,8,copy,0
140,10,copy,0
141,12,merge,1
142,2,copy,0
143,6,copy,0
144,4,copy,0
145,2,copy,0
146,4,copy,0
147,2,copy,0
148,10,copy,0
149,2,copy,0
150,10,copy,0
151,2,copy,0
152,4,copy,0
153,2,copy,0
154,4,copy,0
155,14,copy,0
156,4,copy,0
157,2,copy,0
158,4,copy,0
159,6,copy,0
160,6,copy,0
161,8,merge,1
162,4,copy,0
163,8,copy,0
164,10,copy,0
165,8,copy,0
166,4,copy,0
167,2,copy,0
168,4,copy,0
169,6,copy,0
170,8,copy,0
171,6,copy,0
172,4,copy,0
173,6,copy,0
174,6,copy,0
175,6,copy,0
176,2,copy,0
177,6,copy,0
178,10,merge,1
179,2,copy,0
180,4,copy,0
181,6,copy,0
182,2,copy,0
183,10,copy,0
184,2,copy,0
185,6,merge,1
186,10,copy,0
187,2,copy,0
188,10,copy,0
189,2,copy,0
190,6,copy,0
191,4,copy,0
192,8,copy,0
193,6,copy,0
194,4,copy,0
195,2,copy,0
196,4,copy,0
197,6,copy,0
198,6,copy,0
199,8,copy,0
200,4,copy,0
201,2,copy,0
202,6,copy,0
203,18,merge,1
204,4,copy,0
205,2,copy,0
206,6,copy,0
207,4,copy,0
208,8,copy,0
209,10,copy,0
210,6,copy,0
211,2,copy,0
212,4,copy,0
213,8,copy,0
214,12,merge,1
215,4,copy,0
216,2,copy,0
217,4,copy,0
218,6,copy,0
219,2,copy,0
220,6,copy,0
221,10,merge,1
222,2,copy,0
223,10,copy,0
224,12,copy,0
225,2,copy,0
226,4,copy,0
227,2,copy,0
228,4,copy,0
229,6,copy,0
230,2,copy,0
231,6,copy,0
232,4,copy,0
233,2,copy,0
234,4,copy,0
235,12,copy,0
236,2,copy,0
237,6,copy,0
238,6,copy,0
239,16,merge,1
240,8,copy,0
241,4,copy,0
242,2,copy,0
243,4,copy,0
244,2,copy,0
245,4,copy,0
246,8,copy,0
247,6,copy,0
248,12,copy,0
249,4,copy,0
250,6,copy,0
251,14,merge,1
252,4,copy,0
253,2,copy,0
254,4,copy,0
255,6,copy,0
256,8,copy,0
257,4,copy,0
258,2,copy,0
259,4,copy,0
260,2,copy,0
261,12,copy,0
262,10,copy,0
263,2,copy,0
264,4,copy,0
265,2,copy,0
266,4,copy,0
267,6,copy,0
268,2,copy,0
269,10,copy,0
270,6,merge,1
271,6,copy,0
272,8,copy,0
273,6,copy,0
274,4,copy,0
275,2,copy,0
276,6,copy,0
277,4,copy,0
278,6,copy,0
279,8,copy,0
280,4,copy,0
281,6,copy,0
282,2,copy,0
283,4,copy,0
284,8,copy,0
285,6,copy,0
286,4,copy,0
287,6,copy,0
288,2,copy,0
289,4,copy,0
290,6,copy,0
291,2,copy,0
292,6,copy,0
293,6,copy,0
294,4,copy,0
295,6,copy,0
296,14,merge,1
297,6,copy,0
298,4,copy,0
299,2,copy,0
300,10,copy,0
301,2,copy,0
302,10,copy,0
303,2,copy,0
304,4,copy,0
305,2,copy,0
306,10,copy,0
307,2,copy,0
308,10,merge,1
309,2,copy,0
310,10,copy,0
311,6,copy,0
312,2,copy,0
313,6,copy,0
314,6,merge,1
315,6,copy,0
316,4,copy,0
317,6,copy,0
318,8,copy,0
319,6,copy,0
320,4,copy,0
321,2,copy,0
322,12,copy,0
323,10,copy,0
324,6,copy,0
325,6,merge,1
326,6,copy,0
327,2,copy,0
328,12,copy,0
329,4,copy,0
330,2,copy,0
331,12,merge,1
332,6,copy,0
333,4,copy,0
334,2,copy,0
335,4,copy,0
336,2,copy,0
337,10,copy,0
338,2,copy,0
339,10,copy,0
340,6,copy,0
341,2,copy,0
342,4,copy,0
343,6,copy,0
344,8,merge,1
345,4,copy,0
346,2,copy,0
347,10,copy,0
348,6,copy,0
349,2,copy,0
350,6,copy,0
351,4,copy,0
352,12,copy,0
353,6,copy,0
354,8,copy,0
355,6,copy,0
356,4,copy,0
357,2,copy,0
358,4,copy,0
359,8,copy,0
360,6,copy,0
361,4,copy,0
362,6,copy,0
363,2,copy,0
364,4,copy,0
365,6,copy,0
366,8,copy,0
367,6,copy,0
368,6,copy,0
369,4,copy,0
370,6,copy,0
371,2,copy,0
372,6,copy,0
373,4,copy,0
374,2,copy,0
375,4,copy,0
376,2,copy,0
377,10,copy,0
378,12,copy,0
379,2,copy,0
380,4,copy,0
381,12,copy,0
382,2,copy,0
383,6,copy,0
384,4,copy,0
385,2,copy,0
386,4,copy,0
387,6,copy,0
388,8,merge,1
389,12,copy,0
390,6,copy,0
391,4,copy,0
392,18,copy,0
393,2,copy,0
394,4,copy,0
395,2,copy,0
396,4,copy,0
397,8,copy,0
398,10,merge,1
399,6,copy,0
400,2,copy,0
401,4,copy,0
402,8,copy,0
403,6,copy,0
404,6,copy,0
405,4,copy,0
406,2,copy,0
407,4,copy,0
408,6,copy,0
409,2,copy,0
410,6,copy,0
411,4,copy,0
412,2,copy,0
413,4,copy,0
414,12,copy,0
415,2,copy,0
416,12,copy,0
417,10,merge,1
418,6,copy,0
419,2,copy,0
420,6,copy,0
421,4,copy,0
422,6,copy,0
423,12,merge,1
424,2,copy,0
425,6,copy,0
426,4,copy,0
427,2,copy,0
428,6,copy,0
429,4,copy,0
430,6,copy,0
431,8,copy,0
432,4,copy,0
433,2,copy,0
434,4,copy,0
435,2,copy,0
436,4,copy,0
437,14,copy,0
438,4,copy,0
439,6,copy,0
440,2,copy,0
441,10,copy,0
442,2,copy,0
443,6,copy,0
444,6,copy,0
445,4,copy,0
446,2,copy,0
447,10,copy,0
448,2,copy,0
449,10,copy,0
450,2,copy,0
451,4,copy,0
452,14,copy,0
453,10,copy,0
454,6,merge,1
455,2,copy,0
456,4,copy,0
457,6,copy,0
458,2,copy,0
459,6,copy,0
460,16,merge,1
461,6,copy,0
462,2,copy,0
463,10,copy,0
464,2,copy,0
465,6,copy,0
466,4,copy,0
467,6,copy,0
468,8,copy,0
469,4,copy,0
470,2,copy,0
471,4,copy,0
472,6,copy,0
473,8,copy,0
474,6,copy,0
475,10,copy,0
476,2,copy,0
477,4,copy,0
478,8,merge,1
479,6,copy,0
480,6,copy,0
481,4,copy,0
482,2,copy,0
483,4,copy,0
484,6,copy,0
485,2,copy,0
486,6,copy,0
487,4,copy,0
488,2,copy,0
489,6,copy,0
490,10,copy,0
491,2,copy,0
492,10,copy,0
493,6,copy,0
494,2,copy,0
495,4,copy,0
496,6,copy,0
497,8,copy,0
498,6,merge,1
499,4,copy,0
500,12,copy,0
501,2,copy,0
502,6,copy,0
503,4,copy,0
504,2,copy,0
505,6,copy,0
506,4,copy,0
507,6,copy,0
508,12,copy,0
509,2,copy,0
510,4,copy,0
511,6,merge,1
512,8,copy,0
513,6,copy,0
514,4,copy,0
515,6,copy,0
516,2,copy,0
517,10,copy,0
518,2,copy,0
519,6,copy,0
520,10,copy,0
521,6,copy,0
522,6,copy,0
523,2,copy,0
524,6,copy,0
525,4,copy,0
526,2,copy,0
527,4,copy,0
528,2,copy,0
529,10,copy,0
530,14,merge,1
531,4,copy,0
532,6,copy,0
533,6,copy,0
534,2,copy,0
535,12,copy,0
536,4,copy,0
537,6,copy,0
538,6,copy,0
539,2,copy,0
540,6,copy,0
541,4,copy,0
