index,gap,originalSpan
223,2,1
224,10,1
225,2,1
226,28,5
227,2,1
228,34,5
229,2,1
230,28,5
231,2,1
232,10,2
233,2,1
234,10,2
235,2,1
236,16,2
237,2,1
238,16,2
239,2,1
240,40,6
241,2,1
242,10,2
243,2,1
244,28,4
245,2,1
246,34,6
247,2,1
248,10,1
249,2,1
250,28,4
251,2,1
252,10,2
253,2,1
254,4,1
255,2,1
256,40,5
257,2,1
258,28,4
259,2,1
260,10,2
261,2,1
262,106,16
263,2,1
264,16,3
265,2,1
266,10,1
267,2,1
268,10,1
269,2,1
270,4,1
271,2,1
272,22,4
273,2,1
274,58,9
275,2,1
276,4,1
277,2,1
278,40,5
279,2,1
280,16,3
281,2,1
282,10,2
283,2,1
284,28,4
285,2,1
286,10,1
287,2,1
288,16,2
289,2,1
290,10,2
291,2,1
292,28,4
293,2,1
294,28,4
295,2,1
296,4,1
297,2,1
298,58,8
299,2,1
300,10,2
301,2,1
302,16,3
303,2,1
304,10,1
305,2,1
306,10,1
307,2,1
308,28,5
309,2,1
310,16,3
311,2,1
312,40,6
313,2,1
314,46,8
315,2,1
316,16,3
317,2,1
318,22,3
319,2,1
320,4,1
321,2,1
322,10,1
323,2,1
324,16,2
325,2,1
326,22,3
327,2,1
328,28,5
329,2,1
330,64,9
331,2,1
332,10,2
333,2,1
334,46,8
335,2,1
336,22,2
337,2,1
338,4,1
339,2,1
340,10,2
341,2,1
342,10,2
343,2,1
344,16,1
345,2,1
346,40,6
347,2,1
348,34,4
349,2,1
350,10,2
351,2,1
352,16,2
353,2,1
354,22,4
355,2,1
356,4,1
357,2,1
358,28,3
359,2,1
360,10,2
361,2,1
362,10,2
363,2,1
364,16,3
365,2,1
366,10,1
367,2,1
368,34,4
369,2,1
370,28,5
371,2,1
372,10,2
373,2,1
374,40,6
375,2,1
376,4,1
377,2,1
378,22,2
379,2,1
380,4,1
381,2,1
382,10,1
383,2,1
384,10,2
385,2,1
386,28,4
387,2,1
388,34,5
389,2,1
390,28,4
391,2,1
392,10,2
393,2,1
394,16,2
395,2,1
396,22,4
397,2,1
398,16,1
399,2,1
400,16,2
401,2,1
402,10,2
403,2,1
404,10,2
405,2,1
406,16,2
407,2,1
408,40,6
409,2,1
410,4,1
411,2,1
412,28,4
413,2,1
414,28,3
415,2,1
416,10,2
417,2,1
418,16,2
419,2,1
420,22,2
421,2,1
422,16,3
423,2,1
424,28,5
425,2,1
426,40,5
427,2,1
428,34,5
429,2,1
430,28,4
431,2,1
432,10,2
433,2,1
434,10,2
435,2,1
436,16,2
437,2,1
438,10,1
439,2,1
440,46,7
441,2,1
442,10,2
443,2,1
444,28,4
445,2,1
446,4,1
447,2,1
448,28,4
449,2,1
450,10,2
451,2,1
452,16,2
453,2,1
454,22,3
455,2,1
456,16,2
457,2,1
458,10,1
459,2,1
460,16,3
461,2,1
462,28,4
463,2,1
464,40,6
465,2,1
466,64,11
467,2,1
468,10,1
469,2,1
470,10,2
471,2,1
472,16,2
473,2,1
474,16,2
475,2,1
476,22,3
477,2,1
478,16,3
479,2,1
480,40,7
481,2,1
482,4,1
483,2,1
484,40,6
485,2,1
486,28,4
487,2,1
488,10,2
489,2,1
490,4,1
491,2,1
492,10,1
493,2,1
494,28,4
495,2,1
496,10,1
497,2,1
498,28,4
499,2,1
500,28,3
501,2,1
502,4,1
503,2,1
504,28,4
505,2,1
506,40,7
507,2,1
508,16,3
509,2,1
510,10,1
511,2,1
512,10,1
513,2,1
514,16,3
515,2,1
516,10,2
517,2,1
518,58,9
519,2,1
520,4,1
521,2,1
522,40,4
523,2,1
524,16,3
525,2,1
526,28,5
527,2,1
528,10,1
529,2,1
530,16,2
531,2,1
532,10,2
533,2,1
534,10,1
535,2,1
536,28,4
537,2,1
538,34,6
539,2,1
540,70,11
541,2,1
542,16,3
543,2,1
544,10,1
545,2,1
546,10,1
547,2,1
548,4,1
549,2,1
550,40,6
551,2,1
552,10,2
553,2,1
554,28,4
555,2,1
556,34,5
557,2,1
558,10,1
559,2,1
560,16,2
561,2,1
562,22,3
563,2,1
564,4,1
565,2,1
566,28,3
567,2,1
568,22,4
569,2,1
570,16,3
571,2,1
572,10,2
573,2,1
574,76,11
575,2,1
576,28,5
577,2,1
578,10,2
579,2,1
580,4,1
581,2,1
582,22,2
583,2,1
584,4,1
585,2,1
586,22,3
587,2,1
588,16,2
589,2,1
590,10,1
591,2,1
592,28,2
593,2,1
594,4,1
595,2,1
596,28,4
597,2,1
598,10,2
599,2,1
600,16,2
601,2,1
602,10,2
603,2,1
604,10,2
605,2,1
606,34,4
607,2,1
608,10,1
609,2,1
610,10,2
611,2,1
612,16,3
613,2,1
614,10,2
615,2,1
616,34,6
617,2,1
618,28,4
619,2,1
620,10,1
621,2,1
622,16,3
623,2,1
624,28,4
625,2,1
626,22,2
627,2,1
628,16,2
629,2,1
630,28,5
631,2,1
632,10,2
633,2,1
634,64,9
635,2,1
636,10,2
637,2,1
638,16,3
639,2,1
640,22,3
641,2,1
642,16,2
643,2,1
644,16,2
645,2,1
646,22,4
647,2,1
648,16,1
649,2,1
650,40,5
651,2,1
652,4,1
653,2,1
654,28,4
655,2,1
656,28,4
657,2,1
658,22,4
659,2,1
660,4,1
661,2,1
662,10,1
663,2,1
664,10,1
665,2,1
666,16,3
667,2,1
668,28,5
669,2,1
670,40,5
671,2,1
672,34,6
673,2,1
674,28,4
675,2,1
676,10,1
677,2,1
678,10,2
679,2,1
680,4,1
681,2,1
682,22,2
683,2,1
684,46,8
685,2,1
686,46,7
687,2,1
688,40,6
689,2,1
690,28,4
691,2,1
692,10,2
693,2,1
694,16,2
695,2,1
696,10,1
697,2,1
698,16,3
699,2,1
700,40,6
701,2,1
702,28,4
703,2,1
704,4,1
705,2,1
706,28,4
707,2,1
708,28,4
709,2,1
710,10,2
711,2,1
712,28,4
713,2,1
714,16,2
715,2,1
716,10,2
717,2,1
718,10,2
719,2,1
720,16,3
721,2,1
722,40,6
723,2,1
724,4,1
725,2,1
726,40,6
727,2,1
728,46,7
729,2,1
730,10,1
731,2,1
732,16,2
733,2,1
734,10,2
735,2,1
736,10,1
737,2,1
738,28,5
739,2,1
740,34,4
741,2,1
742,28,5
743,2,1
744,40,6
745,2,1
746,16,2
747,2,1
748,10,1
749,2,1
750,10,1
751,2,1
752,4,1
753,2,1
754,10,2
755,2,1
756,40,6
757,2,1
758,28,5
759,2,1
760,4,1
761,2,1
762,40,6
763,2,1
764,16,2
765,2,1
766,28,5
767,2,1
768,10,1
769,2,1
770,16,2
771,2,1
772,10,2
773,2,1
774,10,1
775,2,1
776,64,10
777,2,1
778,40,6
779,2,1
780,28,3
781,2,1
782,10,2
783,2,1
784,4,1
785,2,1
786,22,2
787,2,1
788,4,1
789,2,1
790,22,3
791,2,1
792,16,3
793,2,1
794,10,1
795,2,1
796,28,3
797,2,1
798,34,6
799,2,1
800,10,2
801,2,1
802,28,5
803,2,1
804,10,1
805,2,1
806,16,2
807,2,1
808,16,2
809,2,1
810,22,4
811,2,1
812,28,5
813,2,1
814,28,5
815,2,1
816,34,4
817,2,1
818,10,1
819,2,1
820,16,3
821,2,1
822,10,2
823,2,1
824,10,1
825,2,1
826,4,1
827,2,1
828,22,1
829,2,1
830,16,3
831,2,1
832,28,4
833,2,1
834,10,2
835,2,1
836,28,4
837,2,1
838,34,4
839,2,1
840,10,2
841,2,1
842,16,2
843,2,1
844,10,2
845,2,1
846,10,2
847,2,1
848,34,4
849,2,1
850,22,4
851,2,1
852,16,1
853,2,1
854,10,2
855,2,1
856,34,5
857,2,1
858,28,5
859,2,1
860,28,4
861,2,1
862,22,4
863,2,1
864,4,1
865,2,1
866,10,1
867,2,1
868,10,1
869,2,1
870,16,2
871,2,1
872,28,5
873,2,1
874,10,2
875,2,1
876,64,9
877,2,1
878,28,4
879,2,1
880,22,3
881,2,1
882,4,1
883,2,1
884,22,2
885,2,1
886,4,1
887,2,1
888,22,4
889,2,1
890,16,2
891,2,1
892,46,8
893,2,1
894,58,9
895,2,1
896,10,2
897,2,1
898,10,2
899,2,1
900,4,1
901,2,1
902,10,1
903,2,1
904,10,1
905,2,1
906,28,4
907,2,1
908,58,8
909,2,1
910,4,1
911,2,1
912,28,3
913,2,1
914,28,5
915,2,1
916,10,2
917,2,1
918,28,4
919,2,1
920,10,1
921,2,1
922,16,2
923,2,1
924,28,5
925,2,1
926,40,7
927,2,1
928,4,1
929,2,1
930,40,6
931,2,1
932,16,3
933,2,1
934,40,5
935,2,1
936,10,1
937,2,1
938,16,3
939,2,1
940,40,5
941,2,1
942,34,6
943,2,1
944,28,5
945,2,1
946,10,2
947,2,1
948,28,5
949,2,1
950,28,3
951,2,1
952,16,1
953,2,1
954,10,2
955,2,1
956,10,2
957,2,1
958,16,2
959,2,1
960,10,2
961,2,1
962,28,4
963,2,1
964,4,1
965,2,1
966,28,4
967,2,1
968,10,1
969,2,1
970,40,5
971,2,1
972,4,1
973,2,1
974,10,1
975,2,1
976,16,1
977,2,1
978,10,2
979,2,1
980,10,1
981,2,1
982,16,3
983,2,1
984,76,11
985,2,1
986,10,2
987,2,1
988,28,5
989,2,1
990,16,3
991,2,1
992,22,1
993,2,1
994,4,1
995,2,1
996,10,1
997,2,1
998,10,2
999,2,1
