gidx,gap,origin,mergeCount
0,22,merge,1
1,6,copy,0
2,2,copy,0
3,6,copy,0
4,4,copy,0
5,2,copy,0
6,4,copy,0
7,6,copy,0
8,6,copy,0
9,2,copy,0
10,6,copy,0
11,4,copy,0
12,2,copy,0
13,6,copy,0
14,4,copy,0
15,6,copy,0
16,8,copy,0
17,4,copy,0
18,2,copy,0
19,4,copy,0
20,2,copy,0
21,4,copy,0
22,14,copy,0
23,4,copy,0
24,6,copy,0
25,2,copy,0
26,10,copy,0
27,2,copy,0
28,6,copy,0
29,6,copy,0
30,4,copy,0
31,6,copy,0
32,6,copy,0
33,2,copy,0
34,10,copy,0
35,2,copy,0
36,4,copy,0
37,2,copy,0
38,12,copy,0
39,12,copy,0
40,4,copy,0
41,2,copy,0
42,4,copy,0
43,6,copy,0
44,2,copy,0
45,10,copy,0
46,6,copy,0
47,6,copy,0
48,6,copy,0
49,2,copy,0
50,6,copy,0
51,4,copy,0
52,2,copy,0
53,10,copy,0
54,14,copy,0
55,4,copy,0
56,2,copy,0
57,4,copy,0
58,14,copy,0
59,6,copy,0
60,10,copy,0
61,2,copy,0
62,4,copy,0
63,6,copy,0
64,8,merge,1
65,6,copy,0
66,6,copy,0
67,4,copy,0
68,6,copy,0
69,8,copy,0
70,4,copy,0
71,8,copy,0
72,10,copy,0
73,2,copy,0
74,10,copy,0
75,2,copy,0
76,6,merge,1
77,4,copy,0
78,6,copy,0
79,8,copy,0
80,4,copy,0
81,2,copy,0
82,4,copy,0
83,12,copy,0
84,8,copy,0
85,4,copy,0
86,8,copy,0
87,4,copy,0
88,6,copy,0
89,12,copy,0
90,2,copy,0
91,6,copy,0
92,12,copy,0
93,6,copy,0
94,10,merge,1
95,6,copy,0
96,6,copy,0
97,2,copy,0
98,6,copy,0
99,10,copy,0
100,6,merge,1
101,6,copy,0
102,2,copy,0
103,6,copy,0
104,6,copy,0
105,4,copy,0
106,2,copy,0
107,12,copy,0
108,10,copy,0
109,2,copy,0
110,4,copy,0
111,6,copy,0
112,6,copy,0
113,2,copy,0
114,6,copy,0
115,6,copy,0
116,4,copy,0
117,6,copy,0
118,8,copy,0
119,10,copy,0
120,8,merge,1
121,4,copy,0
122,6,copy,0
123,8,copy,0
124,6,copy,0
125,6,copy,0
126,4,copy,0
127,8,copy,0
128,6,copy,0
129,4,copy,0
130,8,copy,0
131,4,copy,0
132,14,merge,1
133,10,copy,0
134,12,copy,0
135,2,copy,0
136,10,merge,1
137,2,copy,0
138,4,copy,0
